,low value,high value,correlation,guessed_value,error
0.11368898143272341,0.11368897870182991,0.11368898541480302,1.0,0.11368898205831646,5.50267089828719e-09
0.13016204619415608,0.13016204413026566,0.13016205084323879,1.0,0.13016204748675222,9.930668570663523e-09
0.13465576532544302,0.134655762039125,0.13465576875209812,0.9999999999999998,0.13465576539561155,5.210956803622713e-10
0.13749899903529264,0.13749899481236938,0.1374990015253425,1.0,0.13749899816885594,-6.301403691978097e-09
0.1502103090367615,0.1502103047817946,0.1502103114947677,1.0,0.15021030813828115,-5.981482572272636e-09
0.15454030232604657,0.1545402999892831,0.1545403067022562,1.0,0.15454030334576965,6.598428166648332e-09
0.16062054413848412,0.16062054182589053,0.16062054853886365,0.9999999999999998,0.1606205451823771,6.499124863899763e-09
0.1756832116006486,0.17568321160227063,0.17568321831524375,1.0,0.1756832149587572,1.9114567443046255e-08
0.19815025469695607,0.19815025044977663,0.19815025716274975,1.0,0.1981502538062632,-4.4950377778926696e-09
0.20466447354228662,0.20466447257250553,0.20466447928547862,0.9999999999999999,0.20466447592899206,1.1661552213151103e-08
0.2069258122229078,0.20692581140995026,0.20692581812292338,1.0,0.20692581476643682,1.2291985223906036e-08
0.21228138510552425,0.21228138108551503,0.21228138779848815,1.0,0.2122813844420016,-3.1256751653380623e-09
0.22226464176198651,0.22226463947445152,0.22226464618742464,1.0,0.22226464283093808,4.8093639981516216e-09
0.24799474223117532,0.24799474043399095,0.24799474714696407,0.9999189511960931,0.2479947437904775,6.287642122335805e-09
0.25494403491918477,0.2549440303444863,0.25494403705745944,1.0,0.25494403370097285,-4.7783503568334266e-09
0.2553469984687969,0.2553469966948032,0.25534700340777633,1.0,0.25534700005128974,6.197421032811571e-09
0.27916030565474387,0.2791603021621704,0.27916030887514354,0.9999999999999999,0.279160305518657,-4.874864414578144e-10
0.28648607719329033,0.28648607574403284,0.2864860824570059,1.0,0.2864860791005194,6.657318429048295e-09
0.29338959968033224,0.29338959660381075,0.2933896033167839,0.9999999999999999,0.29338959996029734,9.54243459748472e-10
0.2965781948557419,0.2965781917050481,0.29657819841802124,1.0,0.2965781950615347,6.938906190448702e-10
0.29810208147237705,0.2981020768806338,0.2981020835936069,0.9999999999999999,0.29810208023712037,-4.14373716756423e-09
0.30486698613156776,0.3048669815585017,0.30486698827147485,1.0,0.3048669849149883,-3.990525388564726e-09
0.30679105102065946,0.3067910472005606,0.30679105391353373,0.9999999999999999,0.30679105055704714,-1.5111663578916533e-09
0.3101738751238482,0.31016942476481196,0.3101694314777851,0.8472552331517835,0.31016942812129855,-1.4337127999158756e-05
0.3395498157115988,0.3395498122647404,0.3395498189777135,1.0,0.339549815621227,-2.66151878033528e-10
0.3562388464528947,0.35623884075135,0.3562388474643231,1.0,0.35623884410783657,-6.582825458307061e-09
0.362037864343301,0.3620378627181053,0.3620378694310784,0.9999999999999999,0.3620378660745919,4.782071321654857e-09
0.3703047667145818,0.37030476156622183,0.3703047682791949,1.0,0.37030476492270836,-4.838915370473286e-09
0.379369904578024,0.37936990004777904,0.37936990676075216,0.9999999999999999,0.3793699034042656,-3.0939682078755705e-09
0.3843240218365953,0.38432402050495146,0.3843240272179246,1.0,0.38432402386143805,5.268582297427327e-09
0.40804910953640217,0.40804910407960415,0.4080491107925773,0.9999197631245953,0.4080491074360907,-5.14720270478501e-09
0.41492227394000747,0.41492226887494327,0.4149222755879164,1.0,0.41492227223142986,-4.1178257231175325e-09
0.4234033248747503,0.4234033182784915,0.4234033249914646,1.0,0.42340332163497807,-7.651740168143276e-09
0.43197436040789294,0.43197435508668425,0.43197436179965737,1.0,0.4319743584431708,-4.5482379113525826e-09
0.4381135271543074,0.43811352340132,0.4381135301142931,1.0,0.43811352675780657,-9.050184657445735e-10
