,guessed_numbers
-4.887393685463356,-4.886999999999962
-4.670812891753874,-4.67099999999989
-4.6231973084017195,-4.622999999999874
-4.54599301599448,-4.545999999999848
-4.364167204676555,-4.363999999999788
-4.2352347087850575,-4.2349999999997445
-3.8014618753357157,-3.8009999999995996
-3.6855241225666413,-3.684999999999561
-3.6564792389915315,-3.6569999999995515
-3.4286471927839415,-3.4289999999994754
-3.1610745625358017,-3.160999999999386
-3.02214293892996,-3.0219999999993394
-2.91547897057701,-2.9149999999993037
-2.9149819529750385,-2.9149999999993037
-2.805293482799506,-2.804999999999267
-2.7914631998650785,-2.7909999999992623
-2.1499100227009507,-2.1499999999990482
-2.004174618331321,-2.0039999999989995
-1.9210447703974474,-1.9209999999989718
-1.7363097025688257,-1.73599999999891
-1.6699373503931247,-1.669999999998888
-1.6323445833746462,-1.6319999999988752
-1.6238235951666988,-1.6239999999988726
-1.3592714163705355,-1.358999999998784
-1.196202616742502,-1.1959999999987296
-1.165035460780933,-1.1649999999987193
-1.0301465451994742,-1.0299999999986742
-0.9843562464724721,-0.9839999999986588
-0.9686552299057137,-0.9689999999986538
-0.9146405314928355,-0.9149999999986358
-0.9121042373426139,-0.9119999999986348
-0.8660699876786087,-0.8659999999986194
-0.7210091247803785,-0.720999999998571
-0.6046149065432281,-0.6039999999985319
-0.4708263832045163,-0.4709999999984875
-0.4700517803976464,-0.4699999999984872
-0.45747127353708283,-0.45699999999848284
-0.4526684993128214,-0.4529999999984815
-0.40427516426269594,-0.40399999999846514
-0.3667297796484116,-0.3669999999984528
-0.35066353128149497,-0.3499999999984471
-0.3438553293933849,-0.3439999999984451
-0.30267420446486937,-0.3029999999984314
-0.2950612620382217,-0.29499999999842874
-0.2939955692818771,-0.2939999999984284
-0.2719451853812478,-0.27199999999842106
-0.23729361299301122,-0.23699999999840937
-0.2228610452100579,-0.2229999999984047
-0.19185429161335055,-3.0699999999993555
-0.18933114800095163,-3.0289999999993418
-0.1792375711428199,-2.867999999999288
-0.175093386703007,-0.17499999999838867
-0.11503944266517796,-0.11499999999836863
-0.08700566125856524,-0.08699999999835928
-0.06470219151039469,-4.140999999999713
-0.06133378874450934,-3.924999999999641
-0.05181262449629043,-3.3159999999994376
-0.02626529688991741,-1.6809999999988916
0.022753731674526656,0.36400000000179134
0.06939870366261958,4.441000000003154
0.06977668193401776,4.466000000003161
0.08869534316923455,2.8380000000026175
0.22164706699663395,0.22100000000174358
0.27877577637522166,0.27900000000176295
0.3107863401789662,0.31100000000177364
0.344476736502102,0.34400000000178466
0.3561224457941652,0.35600000000178866
0.36822983618317373,0.36800000000179267
0.3933082485717829,0.393000000001801
0.3966103729527751,0.39700000000180236
0.44688203970362794,0.44700000000181905
0.45208613341942194,0.4520000000018207
0.48362459333559316,0.4840000000018314
0.49638357622664164,0.49700000000183575
0.5207322867535265,0.5210000000018438
0.5742842741513821,0.5740000000018615
0.6185745684063524,0.6190000000018765
0.7633793220490639,0.7640000000019249
0.9505739602078966,0.9510000000019874
1.1020667917542237,1.1020000000020378
1.1318642280703992,1.1320000000020478
1.1892860057651031,1.1890000000020668
1.1973618768350818,1.1970000000020695
1.268238418774816,1.2680000000020932
1.3686014015030636,1.369000000002127
1.4467223806869933,1.447000000002153
1.4514462505511214,1.4520000000021547
1.4936004309668292,1.4930000000021684
2.3038861899557395,2.304000000002439
2.5360718908570608,2.5360000000025167
2.7418489208250953,2.7420000000025855
2.814327589026493,2.8140000000026095
2.9631033053349647,2.9630000000026593
2.9935837909648875,2.9930000000026693
3.1755604269248288,3.1760000000027304
3.2602495227969506,3.2600000000027585
3.503168985476714,3.5030000000028387
3.7026348628082406,3.702000000002906
4.136374366174639,4.136000000003051
4.693102537379794,4.693000000003238
