,input id,low value,high value,correlation,secret value,testset name
0,-2.0,8.66277535815918e-17,8.66277535815918e-17,0.4984439054419336,0.024377803735686487,batina_results
1,-2.0,2.016959562469083e-26,2.016959562469083e-26,0.48648763694039904,0.024377803735686487,batina_results
2,-2.0,3.7206336855888367e-07,3.7206336855888367e-07,0.48648763694039904,0.024377803735686487,batina_results
3,-2.0,1.3218346188597382e-21,1.3218346188597382e-21,0.46600917202897935,0.024377803735686487,batina_results
4,-2.0,3.077636051130803e-31,3.077636051130803e-31,0.46600917202897935,0.024377803735686487,batina_results
5,-2.0,5.6772364587232005e-12,5.6772364587232005e-12,0.46600917202897935,0.024377803735686487,batina_results
6,-2.0,0.024383544921875,0.024383544921875,0.4660091720289793,0.024377803735686487,batina_results
7,-2.0,8.651933336434325e-17,8.651933336434325e-17,0.45747707254396947,0.024377803735686487,batina_results
8,-2.0,3.7159770727157593e-07,3.7159770727157593e-07,0.44312017426555594,0.024377803735686487,batina_results
9,-2.0,2.0144352075723757e-26,2.0144352075723757e-26,0.44312017426555594,0.024377803735686487,batina_results
10,-1.0,1.8784399726140154e-35,1.8784399726140154e-35,0.46261111051889003,0.024377803735686487,batina_results
11,-1.0,1.4882534742355347e-06,1.4882534742355347e-06,0.46195553685768803,0.024377803735686487,batina_results
12,-1.0,8.067838249876332e-26,8.067838249876332e-26,0.46195553685768803,0.024377803735686487,batina_results
13,-1.0,5.287338475438953e-21,5.287338475438953e-21,0.461867019603919,0.024377803735686487,batina_results
14,-1.0,1.2310544204523212e-30,1.2310544204523212e-30,0.461867019603919,0.024377803735686487,batina_results
15,-1.0,2.2708945834892802e-11,2.2708945834892802e-11,0.461867019603919,0.024377803735686487,batina_results
16,-1.0,0.0975341796875,0.0975341796875,0.4618670196039188,0.024377803735686487,batina_results
17,-1.0,3.465110143263672e-16,3.465110143263672e-16,0.46170160592506054,0.024377803735686487,batina_results
18,-1.0,2.935062457209399e-37,2.935062457209399e-37,0.45918841804136895,0.024377803735686487,batina_results
19,-1.0,1.560546875,1.560546875,0.4587991604120192,0.024377803735686487,batina_results
20,0.0,7.873817910237224e-29,7.873817910237224e-29,0.405117167851924,0.024377803735686487,batina_results
21,0.0,1.4524630387313664e-09,1.4524630387313664e-09,0.405117167851924,0.024377803735686487,batina_results
22,0.0,3.381779041912794e-19,3.381779041912794e-19,0.4030485900885123,0.024377803735686487,batina_results
23,0.0,2.2162827129079687e-14,2.2162827129079687e-14,0.39998679886671834,0.024377803735686487,batina_results
24,0.0,9.518861770629883e-05,9.518861770629883e-05,0.39998679886671834,0.024377803735686487,batina_results
25,0.0,1.2014492660884436e-33,1.2014492660884436e-33,0.39998679886671834,0.024377803735686487,batina_results
26,0.0,5.160185305653067e-24,5.160185305653067e-24,0.39998679886671834,0.024377803735686487,batina_results
27,0.0,5.6736837450444e-12,5.6736837450444e-12,0.384050945653152,0.024377803735686487,batina_results
28,0.0,2.0156973850207294e-26,2.0156973850207294e-26,0.384050945653152,0.024377803735686487,batina_results
29,0.0,4.693161195657983e-36,4.693161195657983e-36,0.384050945653152,0.024377803735686487,batina_results
30,1.0,5.4108464670604706e-18,5.4108464670604706e-18,0.4338310028125353,0.024377803735686487,batina_results
31,1.0,2.3239408619701862e-08,2.3239408619701862e-08,0.43311718017959017,0.024377803735686487,batina_results
32,1.0,1.2598108656379559e-27,1.2598108656379559e-27,0.43311718017959017,0.024377803735686487,batina_results
33,1.0,1.2014492660884436e-33,1.2014492660884436e-33,0.4328696560714265,0.024377803735686487,batina_results
34,1.0,2.2162827129079687e-14,2.2162827129079687e-14,0.4328696560714265,0.024377803735686487,batina_results
35,1.0,5.160185305653067e-24,5.160185305653067e-24,0.4328696560714265,0.024377803735686487,batina_results
36,1.0,9.518861770629883e-05,9.518861770629883e-05,0.4328696560714264,0.024377803735686487,batina_results
37,1.0,4.693161195657983e-36,4.693161195657983e-36,0.432350609912806,0.024377803735686487,batina_results
38,1.0,8.657354347296753e-17,8.657354347296753e-17,0.432350609912806,0.024377803735686487,batina_results
39,1.0,3.0757101211864157e-31,3.0757101211864157e-31,0.432350609912806,0.024377803735686487,batina_results
40,2.0,0.02435302734375,0.02435302734375,0.7029704673643966,0.024377803735686487,batina_results
41,2.0,0.0243682861328125,0.0243682861328125,0.6979888856037826,0.024377803735686487,batina_results
42,2.0,1.3201802576346322e-21,1.3201802576346322e-21,0.675668509198256,0.024377803735686487,batina_results
43,2.0,1.3210074382471852e-21,1.3210074382471852e-21,0.6699727413412656,0.024377803735686487,batina_results
44,2.0,0.024383544921875,0.024383544921875,0.6578000887728861,0.024377803735686487,batina_results
45,2.0,0.0243988037109375,0.0243988037109375,0.6573717927912611,0.024377803735686487,batina_results
46,2.0,0.0244140625,0.0244140625,0.649557407048921,0.024377803735686487,batina_results
47,2.0,5.6701310313655995e-12,5.6701310313655995e-12,0.6376392210872878,0.024377803735686487,batina_results
48,2.0,3.0737841912420284e-31,3.0737841912420284e-31,0.6376392210872878,0.024377803735686487,batina_results
49,2.0,0.0242462158203125,0.0242462158203125,0.633482354174274,0.024377803735686487,batina_results
50,3.0,0.024383544921875,0.024383544921875,0.5731223782791577,0.024377803735686487,batina_results
51,3.0,0.0243988037109375,0.0243988037109375,0.5665099374670114,0.024377803735686487,batina_results
52,3.0,1.3218346188597382e-21,1.3218346188597382e-21,0.5450593784723802,0.024377803735686487,batina_results
53,3.0,1.3226617994722913e-21,1.3226617994722913e-21,0.5372222137312431,0.024377803735686487,batina_results
